Index,Rank_x,Previous Rank,Name,Country/Territory,Region_x,Size,Focus,Research,Status,AR SCORE,AR RANK,ER SCORE,ER RANK,FSR SCORE,FSR RANK,CPF SCORE,CPF RANK,IFR SCORE,IFR RANK,ISR SCORE,ISR RANK,ISD SCORE,ISD RANK,IRN SCORE,IRN RANK,EO SCORE,EO RANK,SUS SCORE,SUS RANK,Overall SCORE,Type,State,City,Zip,Region_y,isPublic,Institution_Control,Photo,Rank_y,ACT_Average,Aid,Acceptance Rate,Tuition,GPA_Average,Engineering Reputation Score,Parent_Rank,Enrollment,Business Reputation Score,SAT,Cost After Aid,SAT_Range,ACT_Range,Blurb
306.0,306,306,aalborg university,Denmark,Europe,L,FC,VH,Public,26.4,478,25.0,538,27.7,685,77.2,167,89.0,231,29.4,597,35.4,546,91.7,148,25.4,634,79.1,186,44.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
114.0,114,113,aalto university,Finland,Europe,L,FO,VH,Public,57.5,189,56.1,212,35.1,564,79.6,160,97.2,147,60.0,343,63.9,312,80.9,332,97.1,55,88.3,77,66.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,aaniiih nakoda college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tribal,MT,nan,nan,nan,True,public,nan,-2.0,nan,nan,nan,nan,nan,nan,nan,115.0,nan,nan,nan,nan,nan,Aaniiih Nakoda College is a public institution.    
131.0,131,144,aarhus university,Denmark,Europe,L,FC,VH,Public,68.3,140,41.7,325,42.4,472,74.1,183,96.7,157,25.5,654,19.1,777,96.3,52,79.4,164,73.2,271=,64.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
742.0,741-750,661-670,aberystwyth university,United Kingdom,Europe,M,CO,VH,Public,12.8,701+,11.5,701+,27.6,687,23.9,658,61.3,382=,42.0,475,45.4,457,63.3,646,11.0,801+,63.1,439=,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,abilene christian university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,national-universities,TX,Abilene,79699.0,nan,True,private,https://www.usnews.com/dims4/USNEWS/154295b/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F29%2F66cf079a8d9a10be0108b57d478603%2Fcollege-photo_36610.jpg,296.0,20.0,nan,64.0,44200.0,3.6,2.3,nan,3175.0,2.0,1010.0,nan,1010-1250,20-28,"Abilene Christian University is a private institution that was founded in 1906. It has a total undergraduate enrollment of 3,175 (fall 2023), its setting is suburban, and the campus size is 272 acres. It utilizes a semester-based academic calendar. Abilene Christian University's ranking in the 2025 edition of Best Colleges is National Universities, #296. Its tuition and fees are $44,200."
643.0,643,621-630,abo akademi university,Finland,Europe,M,CO,VH,Public,9.5,701+,7.9,701+,22.1,789,53.9,341,60.7,386,43.6,462,32.6,582,59.8,696,13.5,801+,45.2,801+,26.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,abraham baldwin agricultural college,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-colleges-south,GA,Tifton,31793.0,south,True,public,nan,44.0,16.0,nan,67.0,nan,nan,nan,nan,3647.0,nan,890.0,nan,890-1100,16-21,"Abraham Baldwin Agricultural College is a public institution that was founded in 1908. It has a total undergraduate enrollment of 3,647 (fall 2022), and the campus size is 400 acres.  Abraham Baldwin Agricultural College's ranking in the 2025 edition of Best Colleges is Regional Colleges South, #44. "
391.0,391,501,abu dhabi university,United Arab Emirates,Asia,S,FO,VH,Private for Profit,24.6,518,49.8,256,23.9,755,35.9,518,100.0,5,99.9,44,99.9,32,34.5,801+,10.1,801+,49.6,711=,38.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
951.0,951-1000,851-900,abylkas saginov karaganda technical university,Kazakhstan,Asia,M,FO,HI,Public,10.3,701+,16.9,701+,90.3,102,1.3,801+,15.5,794,25.6,652,26.4,665,3.1,801+,7.8,801+,29.7,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,academy of art university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-west,CA,San Francisco,94105.0,west,True,proprietary,nan,-1.0,nan,nan,nan,nan,nan,nan,nan,4555.0,nan,nan,nan,nan,nan,"Academy of Art University is a proprietary institution that was founded in 1929.   Academy of Art University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. "
1201.0,1201-1400,nan,ada university,Azerbaijan,Asia,S,SP,LO,Public,8.4,701+,22.4,595,62.3,286,1.3,801+,20.2,710,7.7,801+,11.9,801+,5.2,801+,12.0,801+,nan,nan,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
743.0,741-750,761-770,adam mickiewicz university,Poland,Europe,L,CO,VH,Public,24.1,528,12.3,701+,45.7,427,8.8,801+,10.9,801+,15.6,801+,21.7,737,88.7,196,15.8,801+,63.6,431,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
nan,nan,nan,adams state university,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,regional-universities-west,CO,Alamosa,81102.0,west,True,public,https://www.usnews.com/dims4/USNEWS/538bf4d/17177859217/thumbnail/420x420/quality/85/?url=https%3A%2F%2Fwww.usnews.com%2Fcmsmedia%2F04%2Fae84165c3be420e40e7199f6ae2af2%2FDJI_0147.jpg,-1.0,15.0,nan,31.0,21847.0,3.2,nan,nan,1749.0,nan,910.0,nan,910-1130,15-26,"Adams State University is a public institution.  It utilizes a semester-based academic calendar. Adams State University's ranking in the 2025 edition of Best Colleges is Regional Universities West, #105-115. Its in-state tuition and fees are $9,775; out-of-state tuition and fees are $21,847."
1002.0,1001-1200,nan,adamson university,Philippines,Asia,M,CO,MD,Private for Profit,39.3,306,17.9,701+,7.6,801+,1.7,801+,18.1,741,2.8,801+,7.1,801+,4.8,801+,3.5,801+,10.1,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
853.0,851-900,771-780,addis ababa university,Ethiopia,Africa,XL,FO,VH,nan,7.8,701+,12.1,701+,65.3,267,2.5,801+,nan,nan,nan,nan,nan,nan,63.8,636,96.9,62,41.7,801+,-,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
